% Xfiducial, Yfiducial=(  9.14  86.36), ( 76.20  86.36), (143.26  86.36), (  9.14  50.80), (143.26  50.80), (  9.14  15.24), ( 76.20  15.24), (143.26  15.24) mm 
% Sample, x(mm), y(mm), dx(mm), dy(mm), A(fraction), B(fraction), C(fraction), D(fraction), E(fraction), F(fraction), G(fraction), H(fraction), code(0=sample; 1=spectral reference; 2=ABCD control; 3=EFGH control; 4=duplicate sample) 
0001,  12.19,  83.31,  1.02,  1.02, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0002,  14.22,  83.31,  1.02,  1.02, 0.950, 0.050, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0003,  16.25,  83.31,  1.02,  1.02, 0.950, 0.000, 0.050, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0004,  18.28,  83.31,  1.02,  1.02, 0.900, 0.100, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0005,  20.32,  83.31,  1.02,  1.02, 0.900, 0.050, 0.050, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0006,  22.35,  83.31,  1.02,  1.02, 0.900, 0.000, 0.100, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0007,  24.38,  83.31,  1.02,  1.02, 0.850, 0.150, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0008,  26.41,  83.31,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0009,  28.44,  83.31,  1.02,  1.02, 0.850, 0.100, 0.050, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0010,  30.48,  83.31,  1.02,  1.02, 0.850, 0.050, 0.100, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0011,  32.51,  83.31,  1.02,  1.02, 0.850, 0.000, 0.150, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0012,  34.54,  83.31,  1.02,  1.02, 0.800, 0.200, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0013,  36.57,  83.31,  1.02,  1.02, 0.800, 0.150, 0.050, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0014,  38.60,  83.31,  1.02,  1.02, 0.800, 0.100, 0.100, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0015,  40.64,  83.31,  1.02,  1.02, 0.800, 0.050, 0.150, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0016,  42.67,  83.31,  1.02,  1.02, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2 
0017,  44.70,  83.31,  1.02,  1.02, 0.800, 0.000, 0.200, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0018,  46.73,  83.31,  1.02,  1.02, 0.750, 0.250, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
